#Name,Accession,Start,Stop,Strand,GeneID,Locus,Locus tag,Protein product,Length,Protein Name
"chromosome 18","NC_000018.10",47390,49557,"-",260334,"TUBB8B","-","NP_001345618.1",444,"tubulin beta 8B"
"chromosome 18","NC_000018.10",47390,49218,"-",260334,"TUBB8B","-","XP_024306911.1",393,"tubulin beta 8B isoform X1"
"chromosome 18","NC_000018.10",47390,49218,"-",260334,"TUBB8B","-","XP_024306912.1",393,"tubulin beta 8B isoform X1"
"chromosome 18","NC_000018.10",47390,49000,"-",260334,"TUBB8B","-","XP_024306913.1",372,"tubulin beta 8B isoform X2"
"chromosome 18","NC_000018.10",47390,48789,"-",260334,"TUBB8B","-","XP_024306914.1",364,"tubulin beta 8B isoform X3"
"chromosome 18","NC_000018.10",47390,48510,"-",260334,"TUBB8B","-","XP_024306916.1",291,"tubulin beta 8B isoform X5"
"chromosome 18","NC_000018.10",47390,48376,"-",260334,"TUBB8B","-","XP_024306915.1",328,"tubulin beta 8B isoform X4"
"chromosome 18","NC_000018.10",158699,211284,"+",9097,"USP14","-","NP_005142.1",494,"ubiquitin carboxyl-terminal hydrolase 14 isoform a"
"chromosome 18","NC_000018.10",158699,211284,"+",9097,"USP14","-","NP_001032411.1",459,"ubiquitin carboxyl-terminal hydrolase 14 isoform b"
"chromosome 18","NC_000018.10",214626,268019,"-",9984,"THOC1","-","NP_005122.2",657,"THO complex subunit 1"
"chromosome 18","NC_000018.10",214626,268019,"-",9984,"THOC1","-","XP_011524074.1",664,"THO complex subunit 1 isoform X1"
"chromosome 18","NC_000018.10",214626,259691,"-",9984,"THOC1","-","XP_011524075.1",526,"THO complex subunit 1 isoform X2"
"chromosome 18","NC_000018.10",214626,226898,"-",9984,"THOC1","-","XP_024307060.1",350,"THO complex subunit 1 isoform X4"
"chromosome 18","NC_000018.10",214626,226898,"-",9984,"THOC1","-","XP_011524076.1",357,"THO complex subunit 1 isoform X3"
"chromosome 18","NC_000018.10",245827,268019,"-",9984,"THOC1","-","XP_016881593.1",307,"THO complex subunit 1 isoform X5"
"chromosome 18","NC_000018.10",320045,500514,"-",81035,"COLEC12","-","XP_011524043.1",725,"collectin-12 isoform X1"
