#Name,Accession,Start,Stop,Strand,GeneID,Locus,Locus tag,Protein product,Length,Protein Name
"chromosome 14","NC_000014.9",18601117,18602097,"+",440153,"OR11H12","-","NP_001013372.1",326,"olfactory receptor 11H12"
"chromosome 14","NC_000014.9",18967486,18997158,"+",641455,"POTEM","-","NP_001138914.1",508,"putative POTE ankyrin domain family member M"
"chromosome 14","NC_000014.9",19404618,19434289,"-",404785,"POTEG","-","NP_001005356.1",508,"POTE ankyrin domain family member G"
"chromosome 14","NC_000014.9",19712936,19713916,"-",79334,"OR11H2","-","NP_001184216.1",326,"olfactory receptor 11H2"
"chromosome 14","NC_000014.9",19744740,19752334,"+",441669,"OR4Q3","-","XP_024305386.1",369,"olfactory receptor 4Q3 isoform X1, partial"
"chromosome 14","NC_000014.9",19747428,19748369,"+",441669,"OR4Q3","-","NP_751944.1",313,"olfactory receptor 4Q3"
"chromosome 14","NC_000014.9",19780323,19783019,"+",441670,"OR4M1","-","XP_016876827.1",242,"olfactory receptor 4M1 isoform X1"
"chromosome 14","NC_000014.9",19780323,19782754,"+",441670,"OR4M1","-","XP_016876828.1",240,"olfactory receptor 4M1 isoform X2"
"chromosome 14","NC_000014.9",19780323,19781264,"+",441670,"OR4M1","-","NP_001005500.1",313,"olfactory receptor 4M1"
"chromosome 14","NC_000014.9",19827449,19828372,"+",390429,"OR4N2","-","NP_001004723.1",307,"olfactory receptor 4N2"
"chromosome 14","NC_000014.9",19868197,19869143,"-",283617,"OR4K3","-","NP_001335195.2",315,"olfactory receptor 4K3"
"chromosome 14","NC_000014.9",19876268,19877212,"+",390431,"OR4K2","-","NP_001005501.1",314,"olfactory receptor 4K2"
"chromosome 14","NC_000014.9",19920607,19921578,"+",79317,"OR4K5","-","NP_001005483.1",323,"olfactory receptor 4K5"
"chromosome 14","NC_000014.9",19935667,19936602,"+",79544,"OR4K1","-","NP_001004063.2",311,"olfactory receptor 4K1"
"chromosome 14","NC_000014.9",19935667,19936602,"+",79544,"OR4K1","-","XP_011535455.1",311,"olfactory receptor 4K1 isoform X1"
"chromosome 14","NC_000014.9",19975519,19976565,"+",81127,"OR4K15","-","NP_001005486.1",348,"olfactory receptor 4K15"
"chromosome 14","NC_000014.9",20014261,20015193,"-",122740,"OR4K14","-","NP_001004712.1",310,"olfactory receptor 4K14"
"chromosome 14","NC_000014.9",20033844,20034758,"-",390433,"OR4K13","-","NP_001004714.1",304,"olfactory receptor 4K13"
"chromosome 14","NC_000014.9",20060045,20060983,"+",122742,"OR4L1","-","NP_001004717.1",312,"olfactory receptor 4L1"
"chromosome 14","NC_000014.9",20117491,20118438,"+",390436,"OR4K17","-","NP_001004715.2",315,"olfactory receptor 4K17"
"chromosome 14","NC_000014.9",20143736,20144662,"+",390437,"OR4N5","-","NP_001004724.1",308,"olfactory receptor 4N5"
"chromosome 14","NC_000014.9",20197336,20198373,"+",390439,"OR11G2","-","NP_001005503.1",345,"olfactory receptor 11G2"
"chromosome 14","NC_000014.9",20223710,20224702,"+",122748,"OR11H6","-","NP_001004480.1",330,"olfactory receptor 11H6"
"chromosome 14","NC_000014.9",20242792,20243766,"+",390442,"OR11H4","-","NP_001004479.1",324,"olfactory receptor 11H4"
"chromosome 14","NC_000014.9",20289627,20305937,"-",91875,"TTC5","-","NP_612385.2",440,"tetratricopeptide repeat protein 5"
"chromosome 14","NC_000014.9",20311550,20316523,"-",57820,"CCNB1IP1","-","NP_067001.3",277,"E3 ubiquitin-protein ligase CCNB1IP1"
"chromosome 14","NC_000014.9",20311550,20316523,"-",57820,"CCNB1IP1","-","NP_878269.1",277,"E3 ubiquitin-protein ligase CCNB1IP1"
"chromosome 14","NC_000014.9",20311550,20316523,"-",57820,"CCNB1IP1","-","NP_878272.1",277,"E3 ubiquitin-protein ligase CCNB1IP1"
"chromosome 14","NC_000014.9",20343642,20357797,"+",10038,"PARP2","-","NP_005475.2",583,"poly"
"chromosome 14","NC_000014.9",20343642,20357797,"+",10038,"PARP2","-","NP_001036083.1",570,"poly"
"chromosome 14","NC_000014.9",20343642,20357673,"+",10038,"PARP2","-","XP_005267304.1",500,"poly"
"chromosome 14","NC_000014.9",20343642,20357673,"+",10038,"PARP2","-","XP_016876401.1",487,"poly"
"chromosome 14","NC_000014.9",20368437,20408439,"-",7011,"TEP1","-","NP_001305964.1",2519,"telomerase protein component 1 isoform 2"
