#Name,Accession,Start,Stop,Strand,GeneID,Locus,Locus tag,Protein product,Length,Protein Name
"chromosome 20","NC_000020.11",87710,96417,"+",245938,"DEFB125","-","NP_697020.2",156,"beta-defensin 125 preproprotein"
"chromosome 20","NC_000020.11",142629,145692,"+",81623,"DEFB126","-","NP_112193.1",111,"beta-defensin 126 preproprotein"
"chromosome 20","NC_000020.11",157545,159024,"+",140850,"DEFB127","-","NP_620713.1",99,"beta-defensin 127 preproprotein"
"chromosome 20","NC_000020.11",187886,189623,"-",245939,"DEFB128","-","NP_001032821.1",93,"beta-defensin 128 precursor"
"chromosome 20","NC_000020.11",227289,229771,"+",140881,"DEFB129","-","NP_543021.1",183,"beta-defensin 129 precursor"
"chromosome 20","NC_000020.11",257779,259306,"+",400830,"DEFB132","-","NP_997352.1",95,"beta-defensin 132 precursor"
"chromosome 20","NC_000020.11",271207,290610,"-",140680,"C20orf96","-","NP_695001.2",363,"uncharacterized protein C20orf96 isoform 1"
"chromosome 20","NC_000020.11",271207,290603,"-",140680,"C20orf96","-","NP_542138.1",362,"uncharacterized protein C20orf96 isoform 2"
"chromosome 20","NC_000020.11",271207,289586,"-",140680,"C20orf96","-","XP_006723606.1",310,"uncharacterized protein C20orf96 isoform X1"
"chromosome 20","NC_000020.11",297587,298798,"+",85364,"ZCCHC3","-","NP_149080.2",403,"zinc finger CCHC domain-containing protein 3"
"chromosome 20","NC_000020.11",325925,326872,"+",6666,"SOX12","-","NP_008874.2",315,"transcription factor SOX-12"
"chromosome 20","NC_000020.11",346668,353538,"-",101929937,"LOC101929937","-","XP_016883671.1",379,"uncharacterized protein LOC101929937"
"chromosome 20","NC_000020.11",348735,355334,"+",80023,"NRSN2","-","XP_016883565.1",157,"neurensin-2 isoform X2"
"chromosome 20","NC_000020.11",349644,353635,"+",80023,"NRSN2","-","NP_001310609.1",204,"neurensin-2 isoform 1"
"chromosome 20","NC_000020.11",349644,353635,"+",80023,"NRSN2","-","NP_001310611.1",204,"neurensin-2 isoform 1"
"chromosome 20","NC_000020.11",349644,353635,"+",80023,"NRSN2","-","NP_001310610.1",204,"neurensin-2 isoform 1"
"chromosome 20","NC_000020.11",349644,353635,"+",80023,"NRSN2","-","NP_001310614.1",204,"neurensin-2 isoform 1"
"chromosome 20","NC_000020.11",349644,353635,"+",80023,"NRSN2","-","NP_001310612.1",204,"neurensin-2 isoform 1"
"chromosome 20","NC_000020.11",349644,353635,"+",80023,"NRSN2","-","NP_001310613.1",204,"neurensin-2 isoform 1"
"chromosome 20","NC_000020.11",349644,353635,"+",80023,"NRSN2","-","XP_016883562.1",204,"neurensin-2 isoform X1"
"chromosome 20","NC_000020.11",349644,353635,"+",80023,"NRSN2","-","XP_016883563.1",204,"neurensin-2 isoform X1"
"chromosome 20","NC_000020.11",349644,353635,"+",80023,"NRSN2","-","XP_016883564.1",204,"neurensin-2 isoform X1"
"chromosome 20","NC_000020.11",349644,353635,"+",80023,"NRSN2","-","NP_079234.1",204,"neurensin-2 isoform 1"
"chromosome 20","NC_000020.11",349644,353635,"+",80023,"NRSN2","-","XP_006723693.1",204,"neurensin-2 isoform X1"
