#Name,Accession,Start,Stop,Strand,GeneID,Locus,Locus tag,Protein product,Length,Protein Name
"chromosome 6","NC_000006.12",292540,350868,"+",56940,"DUSP22","-","NP_064570.1",184,"dual specificity protein phosphatase 22 isoform b"
"chromosome 6","NC_000006.12",292540,348951,"+",56940,"DUSP22","-","NP_001273484.1",205,"dual specificity protein phosphatase 22 isoform a"
"chromosome 6","NC_000006.12",324775,326829,"+",56940,"DUSP22","-","XP_016866550.1",684,"dual specificity protein phosphatase 22 isoform X1"
"chromosome 6","NC_000006.12",338074,350868,"+",56940,"DUSP22","-","XP_016866551.1",124,"dual specificity protein phosphatase 22 isoform X3"
"chromosome 6","NC_000006.12",338074,348951,"+",56940,"DUSP22","-","XP_011513059.1",145,"dual specificity protein phosphatase 22 isoform X2"
"chromosome 6","NC_000006.12",393153,407598,"+",3662,"IRF4","-","NP_002451.2",451,"interferon regulatory factor 4 isoform 1"
"chromosome 6","NC_000006.12",393153,407598,"+",3662,"IRF4","-","XP_006715153.1",415,"interferon regulatory factor 4 isoform X1"
"chromosome 6","NC_000006.12",393153,407598,"+",3662,"IRF4","-","NP_001182215.1",450,"interferon regulatory factor 4 isoform 2"
"chromosome 6","NC_000006.12",486671,637818,"-",55770,"EXOC2","-","XP_016866507.1",924,"exocyst complex component 2 isoform X1"
"chromosome 6","NC_000006.12",486671,637818,"-",55770,"EXOC2","-","XP_016866508.1",924,"exocyst complex component 2 isoform X1"
"chromosome 6","NC_000006.12",486671,637818,"-",55770,"EXOC2","-","XP_016866509.1",924,"exocyst complex component 2 isoform X1"
"chromosome 6","NC_000006.12",486671,637818,"-",55770,"EXOC2","-","XP_016866510.1",924,"exocyst complex component 2 isoform X1"
"chromosome 6","NC_000006.12",486671,637818,"-",55770,"EXOC2","-","XP_016866511.1",924,"exocyst complex component 2 isoform X1"
"chromosome 6","NC_000006.12",486671,637818,"-",55770,"EXOC2","-","XP_016866512.1",924,"exocyst complex component 2 isoform X1"
"chromosome 6","NC_000006.12",486671,637818,"-",55770,"EXOC2","-","XP_016866513.1",924,"exocyst complex component 2 isoform X1"
"chromosome 6","NC_000006.12",486671,637818,"-",55770,"EXOC2","-","NP_060773.3",924,"exocyst complex component 2"
"chromosome 6","NC_000006.12",513954,637818,"-",55770,"EXOC2","-","XP_016866514.1",847,"exocyst complex component 2 isoform X2"
"chromosome 6","NC_000006.12",534566,637818,"-",55770,"EXOC2","-","XP_016866515.1",750,"exocyst complex component 2 isoform X3"
"chromosome 6","NC_000006.12",656108,656944,"-",135458,"HUS1B","-","NP_683762.2",278,"checkpoint protein HUS1B"
"chromosome 6","NC_000006.12",909269,910969,"+",101927353,"LOC101927353","-","XP_016867090.1",566,"uncharacterized protein LOC101927353"
"chromosome 6","NC_000006.12",909269,910969,"+",101927353,"LOC101927353","-","XP_016867091.1",566,"uncharacterized protein LOC101927353"
"chromosome 6","NC_000006.12",909269,910969,"+",101927353,"LOC101927353","-","XP_016867092.1",566,"uncharacterized protein LOC101927353"
"chromosome 6","NC_000006.12",909269,910969,"+",101927353,"LOC101927353","-","XP_016867093.1",566,"uncharacterized protein LOC101927353"
"chromosome 6","NC_000006.12",909269,910969,"+",101927353,"LOC101927353","-","XP_016867094.1",566,"uncharacterized protein LOC101927353"
"chromosome 6","NC_000006.12",909269,910969,"+",101927353,"LOC101927353","-","XP_016867095.1",566,"uncharacterized protein LOC101927353"
"chromosome 6","NC_000006.12",909269,910969,"+",101927353,"LOC101927353","-","XP_024302384.1",566,"uncharacterized protein LOC101927353"
"chromosome 6","NC_000006.12",1311699,1312346,"-",107986554,"LOC107986554","-","XP_016867096.1",215,"uncharacterized protein LOC107986554"
"chromosome 6","NC_000006.12",1311699,1312346,"-",107986554,"LOC107986554","-","XP_016867097.1",215,"uncharacterized protein LOC107986554"
"chromosome 6","NC_000006.12",1311699,1312346,"-",107986554,"LOC107986554","-","XP_016867098.1",215,"uncharacterized protein LOC107986554"
"chromosome 6","NC_000006.12",1311699,1312346,"-",107986554,"LOC107986554","-","XP_016867099.1",215,"uncharacterized protein LOC107986554"
"chromosome 6","NC_000006.12",1311699,1312346,"-",107986554,"LOC107986554","-","XP_016867100.1",215,"uncharacterized protein LOC107986554"
"chromosome 6","NC_000006.12",1312705,1313916,"+",94234,"FOXQ1","-","NP_150285.3",403,"forkhead box protein Q1"
"chromosome 6","NC_000006.12",1389948,1394859,"+",2295,"FOXF2","-","NP_001443.1",444,"forkhead box protein F2"
"chromosome 6","NC_000006.12",1610446,1612107,"+",2296,"FOXC1","-","NP_001444.2",553,"forkhead box protein C1"
"chromosome 6","NC_000006.12",1624169,2245422,"-",2762,"GMDS","-","NP_001491.1",372,"GDP-mannose 4,6 dehydratase isoform 1"
"chromosome 6","NC_000006.12",1624169,2244946,"-",2762,"GMDS","-","XP_011512802.1",342,"GDP-mannose 4,6 dehydratase isoform X1"
"chromosome 6","NC_000006.12",1624169,2175943,"-",2762,"GMDS","-","NP_001240775.1",342,"GDP-mannose 4,6 dehydratase isoform 2"
"chromosome 6","NC_000006.12",1624169,2034893,"-",2762,"GMDS","-","XP_016866241.1",285,"GDP-mannose 4,6 dehydratase isoform X4"
"chromosome 6","NC_000006.12",1690557,2245422,"-",2762,"GMDS","-","XP_011512804.1",334,"GDP-mannose 4,6 dehydratase isoform X2"
"chromosome 6","NC_000006.12",1742561,2245422,"-",2762,"GMDS","-","XP_011512809.1",222,"GDP-mannose 4,6 dehydratase isoform X8"
"chromosome 6","NC_000006.12",1909886,2245422,"-",2762,"GMDS","-","XP_006715129.1",290,"GDP-mannose 4,6 dehydratase isoform X3"
"chromosome 6","NC_000006.12",1949055,2245422,"-",2762,"GMDS","-","XP_011512808.1",247,"GDP-mannose 4,6 dehydratase isoform X7"
"chromosome 6","NC_000006.12",1949083,2245422,"-",2762,"GMDS","-","XP_011512807.1",250,"GDP-mannose 4,6 dehydratase isoform X6"
"chromosome 6","NC_000006.12",1951924,2245422,"-",2762,"GMDS","-","XP_011512805.1",282,"GDP-mannose 4,6 dehydratase isoform X5"
"chromosome 6","NC_000006.12",2671301,2770113,"-",340156,"MYLK4","-","NP_001334801.1",444,"myosin light chain kinase family member 4 isoform 2"
"chromosome 6","NC_000006.12",2671301,2765473,"-",340156,"MYLK4","-","XP_005249135.2",469,"myosin light chain kinase family member 4 isoform X1"
"chromosome 6","NC_000006.12",2671301,2749294,"-",340156,"MYLK4","-","NP_001012418.2",388,"myosin light chain kinase family member 4 isoform 1"
"chromosome 6","NC_000006.12",2671301,2749294,"-",340156,"MYLK4","-","XP_005249136.1",388,"myosin light chain kinase family member 4 isoform X2"
"chromosome 6","NC_000006.12",2671301,2744036,"-",340156,"MYLK4","-","XP_006715145.1",382,"myosin light chain kinase family member 4 isoform X3"
"chromosome 6","NC_000006.12",2765623,2785282,"+",56897,"WRNIP1","-","NP_064520.2",665,"ATPase WRNIP1 isoform 1"
"chromosome 6","NC_000006.12",2765623,2785282,"+",56897,"WRNIP1","-","NP_569079.1",640,"ATPase WRNIP1 isoform 2"
"chromosome 6","NC_000006.12",2765623,2772998,"+",56897,"WRNIP1","-","XP_016866549.1",438,"ATPase WRNIP1 isoform X1"
"chromosome 6","NC_000006.12",2765623,2772991,"+",56897,"WRNIP1","-","XP_005249289.1",419,"ATPase WRNIP1 isoform X2"
"chromosome 6","NC_000006.12",2833608,2840586,"-",1992,"SERPINB1","-","NP_109591.1",379,"leukocyte elastase inhibitor"
"chromosome 6","NC_000006.12",2833608,2840586,"-",1992,"SERPINB1","-","XP_011512635.1",379,"leukocyte elastase inhibitor isoform X1"
"chromosome 6","NC_000006.12",2833608,2840586,"-",1992,"SERPINB1","-","XP_011512636.1",379,"leukocyte elastase inhibitor isoform X1"
"chromosome 6","NC_000006.12",2833608,2840369,"-",1992,"SERPINB1","-","XP_011512637.1",330,"leukocyte elastase inhibitor isoform X2"
"chromosome 6","NC_000006.12",2890163,2900611,"-",5272,"SERPINB9","-","NP_004146.1",376,"serpin B9"
"chromosome 6","NC_000006.12",2890163,2900611,"-",5272,"SERPINB9","-","XP_005249241.1",376,"serpin B9 isoform X1"
"chromosome 6","NC_000006.12",2890163,2897940,"-",5272,"SERPINB9","-","XP_016866431.1",325,"serpin B9 isoform X2"
"chromosome 6","NC_000006.12",2890163,2897940,"-",5272,"SERPINB9","-","XP_016866432.1",325,"serpin B9 isoform X2"
"chromosome 6","NC_000006.12",2890163,2897940,"-",5272,"SERPINB9","-","XP_011512980.1",325,"serpin B9 isoform X2"
"chromosome 6","NC_000006.12",2948298,2971148,"-",5269,"SERPINB6","-","NP_001258751.1",390,"serpin B6 isoform c"
"chromosome 6","NC_000006.12",2948298,2970804,"-",5269,"SERPINB6","-","NP_001258752.1",395,"serpin B6 isoform d"
"chromosome 6","NC_000006.12",2948298,2968811,"-",5269,"SERPINB6","-","XP_016866430.1",332,"serpin B6 isoform X5"
"chromosome 6","NC_000006.12",2948298,2968811,"-",5269,"SERPINB6","-","XP_024302233.1",332,"serpin B6 isoform X5"
"chromosome 6","NC_000006.12",2948298,2968811,"-",5269,"SERPINB6","-","NP_001361446.1",332,"serpin B6 isoform e"
"chromosome 6","NC_000006.12",2948298,2968811,"-",5269,"SERPINB6","-","XP_011512974.1",454,"serpin B6 isoform X1"
"chromosome 6","NC_000006.12",2948298,2968800,"-",5269,"SERPINB6","-","XP_016866429.1",380,"serpin B6 isoform X2"
"chromosome 6","NC_000006.12",2948298,2968800,"-",5269,"SERPINB6","-","XP_024302230.1",380,"serpin B6 isoform X2"
"chromosome 6","NC_000006.12",2948298,2968780,"-",5269,"SERPINB6","-","NP_001361444.1",380,"serpin B6 isoform b"
"chromosome 6","NC_000006.12",2948298,2968780,"-",5269,"SERPINB6","-","NP_001182220.2",380,"serpin B6 isoform b"
"chromosome 6","NC_000006.12",2948298,2959332,"-",5269,"SERPINB6","-","XP_024302232.1",376,"serpin B6 isoform X4"
