#Name,Accession,Start,Stop,Strand,GeneID,Locus,Locus tag,Protein product,Length,Protein Name
"chromosome 8","NC_000008.11",166086,167024,"-",441308,"OR4F21","-","NP_001005504.1",312,"olfactory receptor 4F21"
"chromosome 8","NC_000008.11",240896,246362,"+",169270,"ZNF596","-","XP_016868655.1",504,"zinc finger protein 596 isoform X1"
"chromosome 8","NC_000008.11",240896,246362,"+",169270,"ZNF596","-","NP_775810.2",504,"zinc finger protein 596 isoform 1"
"chromosome 8","NC_000008.11",240896,246362,"+",169270,"ZNF596","-","NP_001035880.1",504,"zinc finger protein 596 isoform 1"
"chromosome 8","NC_000008.11",240896,246362,"+",169270,"ZNF596","-","NP_001035881.1",504,"zinc finger protein 596 isoform 1"
"chromosome 8","NC_000008.11",240896,246362,"+",169270,"ZNF596","-","NP_001274185.1",504,"zinc finger protein 596 isoform 1"
"chromosome 8","NC_000008.11",240896,246362,"+",169270,"ZNF596","-","NP_001274184.1",504,"zinc finger protein 596 isoform 1"
"chromosome 8","NC_000008.11",240896,246362,"+",169270,"ZNF596","-","NP_001274183.1",504,"zinc finger protein 596 isoform 1"
"chromosome 8","NC_000008.11",242980,246362,"+",169270,"ZNF596","-","XP_011533046.1",469,"zinc finger protein 596 isoform X2"
"chromosome 8","NC_000008.11",245247,246362,"+",169270,"ZNF596","-","NP_001274328.1",371,"zinc finger protein 596 isoform 2"
"chromosome 8","NC_000008.11",413080,468804,"+",26260,"FBXO25","-","XP_016868802.1",367,"F-box only protein 25 isoform X1"
"chromosome 8","NC_000008.11",413080,468804,"+",26260,"FBXO25","-","NP_904357.1",367,"F-box only protein 25 isoform 1"
"chromosome 8","NC_000008.11",413080,468804,"+",26260,"FBXO25","-","XP_011533050.1",367,"F-box only protein 25 isoform X1"
"chromosome 8","NC_000008.11",413080,468804,"+",26260,"FBXO25","-","XP_024302891.1",358,"F-box only protein 25 isoform X2"
"chromosome 8","NC_000008.11",413080,468804,"+",26260,"FBXO25","-","XP_024302892.1",358,"F-box only protein 25 isoform X2"
"chromosome 8","NC_000008.11",413080,468804,"+",26260,"FBXO25","-","NP_904356.1",358,"F-box only protein 25 isoform 2"
"chromosome 8","NC_000008.11",413080,468804,"+",26260,"FBXO25","-","XP_016868803.1",336,"F-box only protein 25 isoform X3"
"chromosome 8","NC_000008.11",413080,468804,"+",26260,"FBXO25","-","XP_024302893.1",327,"F-box only protein 25 isoform X4"
"chromosome 8","NC_000008.11",413080,468804,"+",26260,"FBXO25","-","XP_024302894.1",327,"F-box only protein 25 isoform X4"
"chromosome 8","NC_000008.11",431358,468804,"+",26260,"FBXO25","-","XP_011533051.1",300,"F-box only protein 25 isoform X5"
"chromosome 8","NC_000008.11",431358,468804,"+",26260,"FBXO25","-","NP_036305.2",291,"F-box only protein 25 isoform 3"
"chromosome 8","NC_000008.11",491572,544757,"-",157695,"TDRP","-","NP_001243042.1",198,"testis development-related protein isoform 2"
"chromosome 8","NC_000008.11",492399,544757,"-",157695,"TDRP","-","NP_778250.2",185,"testis development-related protein isoform 1"
"chromosome 8","NC_000008.11",492399,544757,"-",157695,"TDRP","-","XP_006716295.1",185,"testis development-related protein isoform X2"
"chromosome 8","NC_000008.11",492399,515212,"-",157695,"TDRP","-","NP_001356645.1",195,"testis development-related protein isoform 3"
"chromosome 8","NC_000008.11",615223,731161,"-",157697,"ERICH1","-","XP_016868613.1",505,"glutamate-rich protein 1 isoform X10"
"chromosome 8","NC_000008.11",616571,731161,"-",157697,"ERICH1","-","NP_001290029.1",422,"glutamate-rich protein 1 isoform 2"
"chromosome 8","NC_000008.11",616571,731161,"-",157697,"ERICH1","-","XP_016868615.1",488,"glutamate-rich protein 1 isoform X13"
"chromosome 8","NC_000008.11",627099,731161,"-",157697,"ERICH1","-","XP_024302845.1",421,"glutamate-rich protein 1 isoform X17"
"chromosome 8","NC_000008.11",627099,731161,"-",157697,"ERICH1","-","XP_011533037.1",465,"glutamate-rich protein 1 isoform X15"
"chromosome 8","NC_000008.11",627099,731161,"-",157697,"ERICH1","-","XP_024302844.1",487,"glutamate-rich protein 1 isoform X14"
"chromosome 8","NC_000008.11",637373,731161,"-",157697,"ERICH1","-","XP_016868604.1",634,"glutamate-rich protein 1 isoform X2"
"chromosome 8","NC_000008.11",637373,731161,"-",157697,"ERICH1","-","XP_016868605.1",634,"glutamate-rich protein 1 isoform X2"
"chromosome 8","NC_000008.11",638207,731161,"-",157697,"ERICH1","-","XP_006716297.2",571,"glutamate-rich protein 1 isoform X4"
"chromosome 8","NC_000008.11",638207,731161,"-",157697,"ERICH1","-","XP_016868606.1",632,"glutamate-rich protein 1 isoform X3"
"chromosome 8","NC_000008.11",638207,731161,"-",157697,"ERICH1","-","XP_016868603.1",637,"glutamate-rich protein 1 isoform X1"
"chromosome 8","NC_000008.11",639358,731161,"-",157697,"ERICH1","-","XP_016868607.1",570,"glutamate-rich protein 1 isoform X5"
"chromosome 8","NC_000008.11",640605,731161,"-",157697,"ERICH1","-","XP_016868609.1",561,"glutamate-rich protein 1 isoform X7"
"chromosome 8","NC_000008.11",644261,731161,"-",157697,"ERICH1","-","XP_016868608.1",567,"glutamate-rich protein 1 isoform X6"
"chromosome 8","NC_000008.11",651252,731161,"-",157697,"ERICH1","-","XP_016868614.1",498,"glutamate-rich protein 1 isoform X12"
"chromosome 8","NC_000008.11",656751,731161,"-",157697,"ERICH1","-","XP_016868610.1",520,"glutamate-rich protein 1 isoform X8"
"chromosome 8","NC_000008.11",656751,731161,"-",157697,"ERICH1","-","XP_016868611.1",520,"glutamate-rich protein 1 isoform X8"
"chromosome 8","NC_000008.11",664603,731161,"-",157697,"ERICH1","-","NP_997215.1",443,"glutamate-rich protein 1 isoform 1"
"chromosome 8","NC_000008.11",664603,731161,"-",157697,"ERICH1","-","XP_011533033.1",504,"glutamate-rich protein 1 isoform X11"
"chromosome 8","NC_000008.11",664603,731161,"-",157697,"ERICH1","-","XP_016868612.1",509,"glutamate-rich protein 1 isoform X9"
"chromosome 8","NC_000008.11",668679,731161,"-",157697,"ERICH1","-","XP_016868623.1",388,"glutamate-rich protein 1 isoform X20"
"chromosome 8","NC_000008.11",669925,731161,"-",157697,"ERICH1","-","XP_016868622.1",415,"glutamate-rich protein 1 isoform X19"
"chromosome 8","NC_000008.11",670671,731161,"-",157697,"ERICH1","-","XP_016868617.1",432,"glutamate-rich protein 1 isoform X16"
"chromosome 8","NC_000008.11",670671,731161,"-",157697,"ERICH1","-","XP_016868618.1",432,"glutamate-rich protein 1 isoform X16"
"chromosome 8","NC_000008.11",670671,731161,"-",157697,"ERICH1","-","XP_016868619.1",432,"glutamate-rich protein 1 isoform X16"
"chromosome 8","NC_000008.11",670671,731161,"-",157697,"ERICH1","-","XP_016868620.1",432,"glutamate-rich protein 1 isoform X16"
"chromosome 8","NC_000008.11",670671,731161,"-",157697,"ERICH1","-","XP_011533038.1",432,"glutamate-rich protein 1 isoform X16"
"chromosome 8","NC_000008.11",670707,731161,"-",157697,"ERICH1","-","XP_011533039.1",415,"glutamate-rich protein 1 isoform X18"
"chromosome 8","NC_000008.11",713895,714917,"-",157697,"ERICH1","-","XP_016868624.1",340,"glutamate-rich protein 1 isoform X21"
"chromosome 8","NC_000008.11",713895,714917,"-",157697,"ERICH1","-","XP_016868625.1",340,"glutamate-rich protein 1 isoform X21"
"chromosome 8","NC_000008.11",713895,714917,"-",157697,"ERICH1","-","XP_016868626.1",340,"glutamate-rich protein 1 isoform X21"
"chromosome 8","NC_000008.11",713895,714917,"-",157697,"ERICH1","-","XP_016868627.1",340,"glutamate-rich protein 1 isoform X21"
"chromosome 8","NC_000008.11",713895,714917,"-",157697,"ERICH1","-","XP_016868628.1",340,"glutamate-rich protein 1 isoform X21"
"chromosome 8","NC_000008.11",737808,1701406,"+",9228,"DLGAP2","-","NP_001333739.1",1055,"disks large-associated protein 2 isoform 3"
"chromosome 8","NC_000008.11",1771055,1780567,"+",2055,"CLN8","-","NP_061764.2",286,"protein CLN8"
"chromosome 8","NC_000008.11",1771055,1780567,"+",2055,"CLN8","-","XP_005266078.1",286,"protein CLN8 isoform X1"
