#Name,Accession,Start,Stop,Strand,GeneID,Locus,Locus tag,Protein product,Length,Protein Name
"chromosome 17","NC_000017.11",132517,138942,"+",653486,"SCGB1C2","-","XP_011533664.1",138,"secretoglobin family 1C member 2 isoform X1"
"chromosome 17","NC_000017.11",137591,138942,"+",653486,"SCGB1C2","-","NP_001091079.1",95,"secretoglobin family 1C member 2 precursor"
"chromosome 17","NC_000017.11",147441,181479,"-",8447,"DOC2B","-","XP_011533665.1",387,"double C2-like domain-containing protein beta isoform X1"
"chromosome 17","NC_000017.11",147441,181479,"-",8447,"DOC2B","-","NP_003576.2",412,"double C2-like domain-containing protein beta"
"chromosome 17","NC_000017.11",160690,181479,"-",8447,"DOC2B","-","XP_016880716.1",340,"double C2-like domain-containing protein beta isoform X2"
"chromosome 17","NC_000017.11",213852,327543,"-",9501,"RPH3AL","-","NP_001177341.1",286,"rab effector Noc2 isoform 2"
"chromosome 17","NC_000017.11",213852,327543,"-",9501,"RPH3AL","-","NP_001177342.1",286,"rab effector Noc2 isoform 2"
"chromosome 17","NC_000017.11",213852,327543,"-",9501,"RPH3AL","-","NP_001177340.1",315,"rab effector Noc2 isoform 1"
"chromosome 17","NC_000017.11",213852,327543,"-",9501,"RPH3AL","-","NP_008918.1",315,"rab effector Noc2 isoform 1"
"chromosome 17","NC_000017.11",410343,414115,"+",400566,"C17orf97","-","NP_001013694.4",423,"protein LIAT1"
"chromosome 17","NC_000017.11",443164,445940,"-",359845,"RFLNB","-","NP_874364.1",214,"refilin-B"
"chromosome 17","NC_000017.11",519128,714709,"-",55275,"VPS53","-","NP_001121631.1",832,"vacuolar protein sorting-associated protein 53 homolog isoform 1"
"chromosome 17","NC_000017.11",519128,676314,"-",55275,"VPS53","-","XP_016880306.1",782,"vacuolar protein sorting-associated protein 53 homolog isoform X1"
"chromosome 17","NC_000017.11",519128,656792,"-",55275,"VPS53","-","XP_016880307.1",709,"vacuolar protein sorting-associated protein 53 homolog isoform X2"
"chromosome 17","NC_000017.11",532827,714709,"-",55275,"VPS53","-","NP_060759.2",670,"vacuolar protein sorting-associated protein 53 homolog isoform 2"
"chromosome 17","NC_000017.11",532827,714709,"-",55275,"VPS53","-","NP_001353182.1",699,"vacuolar protein sorting-associated protein 53 homolog isoform 3"
