#Name,Accession,Start,Stop,Strand,GeneID,Locus,Locus tag,Protein product,Length,Protein Name
"chromosome 12","NC_000012.12",66883,175033,"+",440073,"IQSEC3","-","NP_001164209.1",1182,"IQ motif and SEC7 domain-containing protein 3 isoform 1"
"chromosome 12","NC_000012.12",66883,174693,"+",440073,"IQSEC3","-","XP_011519260.1",1063,"IQ motif and SEC7 domain-containing protein 3 isoform X1"
"chromosome 12","NC_000012.12",66883,171321,"+",440073,"IQSEC3","-","XP_011519261.1",1062,"IQ motif and SEC7 domain-containing protein 3 isoform X2"
"chromosome 12","NC_000012.12",66883,171321,"+",440073,"IQSEC3","-","XP_011519262.1",1062,"IQ motif and SEC7 domain-containing protein 3 isoform X2"
"chromosome 12","NC_000012.12",66883,171308,"+",440073,"IQSEC3","-","XP_016874799.1",1041,"IQ motif and SEC7 domain-containing protein 3 isoform X3"
"chromosome 12","NC_000012.12",66883,171308,"+",440073,"IQSEC3","-","XP_016874800.1",1041,"IQ motif and SEC7 domain-containing protein 3 isoform X3"
"chromosome 12","NC_000012.12",138273,175033,"+",440073,"IQSEC3","-","XP_011519263.1",879,"IQ motif and SEC7 domain-containing protein 3 isoform X4"
"chromosome 12","NC_000012.12",138273,171321,"+",440073,"IQSEC3","-","NP_056047.1",759,"IQ motif and SEC7 domain-containing protein 3 isoform 2"
"chromosome 12","NC_000012.12",191068,209986,"-",6539,"SLC6A12","-","NP_003035.3",614,"sodium- and chloride-dependent betaine transporter"
"chromosome 12","NC_000012.12",191068,209986,"-",6539,"SLC6A12","-","NP_001116319.1",614,"sodium- and chloride-dependent betaine transporter"
"chromosome 12","NC_000012.12",191068,209986,"-",6539,"SLC6A12","-","NP_001116320.1",614,"sodium- and chloride-dependent betaine transporter"
"chromosome 12","NC_000012.12",191068,209986,"-",6539,"SLC6A12","-","NP_001193860.1",614,"sodium- and chloride-dependent betaine transporter"
"chromosome 12","NC_000012.12",191068,209986,"-",6539,"SLC6A12","-","XP_011519312.1",614,"sodium- and chloride-dependent betaine transporter isoform X1"
"chromosome 12","NC_000012.12",191613,209986,"-",6539,"SLC6A12","-","XP_005253804.1",610,"sodium- and chloride-dependent betaine transporter isoform X2"
"chromosome 12","NC_000012.12",191871,209986,"-",6539,"SLC6A12","-","XP_006719068.1",570,"sodium- and chloride-dependent betaine transporter isoform X4"
"chromosome 12","NC_000012.12",191871,209986,"-",6539,"SLC6A12","-","XP_005253805.1",571,"sodium- and chloride-dependent betaine transporter isoform X3"
"chromosome 12","NC_000012.12",220948,260052,"-",6540,"SLC6A13","-","NP_001177926.1",510,"sodium- and chloride-dependent GABA transporter 2 isoform 2"
"chromosome 12","NC_000012.12",220948,260052,"-",6540,"SLC6A13","-","NP_057699.2",602,"sodium- and chloride-dependent GABA transporter 2 isoform 1"
"chromosome 12","NC_000012.12",220948,242734,"-",6540,"SLC6A13","-","XP_011519314.1",483,"sodium- and chloride-dependent GABA transporter 2 isoform X1"
"chromosome 12","NC_000012.12",220948,238002,"-",6540,"SLC6A13","-","XP_011519315.1",440,"sodium- and chloride-dependent GABA transporter 2 isoform X3"
"chromosome 12","NC_000012.12",220948,237453,"-",6540,"SLC6A13","-","XP_016875331.1",445,"sodium- and chloride-dependent GABA transporter 2 isoform X2"
"chromosome 12","NC_000012.12",220948,235191,"-",6540,"SLC6A13","-","XP_016875334.1",359,"sodium- and chloride-dependent GABA transporter 2 isoform X5"
"chromosome 12","NC_000012.12",220948,235191,"-",6540,"SLC6A13","-","XP_006719071.1",359,"sodium- and chloride-dependent GABA transporter 2 isoform X5"
"chromosome 12","NC_000012.12",224105,260052,"-",6540,"SLC6A13","-","XP_016875333.1",394,"sodium- and chloride-dependent GABA transporter 2 isoform X4"
"chromosome 12","NC_000012.12",227146,260052,"-",6540,"SLC6A13","-","XP_016875335.1",325,"sodium- and chloride-dependent GABA transporter 2 isoform X6"
